Question,Answer Option,Mapped Archetypes,Weight
Q1,A,"Relatable Strategist, Tactical Educator",1.5
Q1,B,"Bold Challenger, Engaging Entertainer",1.5
Q10,A,Tactical Educator,1.5
Q10,B,"Bold Challenger, Storyteller",1.5
Q11,A,"Data-Driven Analyst, Tactical Educator",2.0
Q11,B,"Bold Challenger, Inspirational Storyteller",2.0
Q12,A,"Data-Driven Analyst, Tactical Educator",2.0
Q12,B,"Bold Challenger, Relatable Strategist",2.0
Q13,A,Tactical Educator,1.5
Q13,B,"Bold Challenger, Storyteller",1.5
Q14,A,"Relatable Strategist, Tactical Educator",1.5
Q14,B,"Bold Challenger, Storyteller",1.5
Q15,A,Tactical Educator,1.5
Q15,B,Bold Challenger,1.5
Q16,A,"Data-Driven Analyst, Tactical Educator",2.0
Q16,B,"Bold Challenger, Storyteller",2.0
Q17,A,Tactical Educator,2.0
Q17,B,"Bold Challenger, Storyteller",2.0
Q18,A,Relatable Strategist,2.0
Q18,B,Inspirational Storyteller,2.0
Q19,A,"Strategist, Tactical Educator",1.5
Q19,B,"Engaging Entertainer, Storyteller",1.5
Q2,A,"Data-Driven Analyst, Tactical Educator",2.0
Q2,B,"Bold Challenger, Inspirational Storyteller",2.0
Q20,A,"Strategist, Tactical Educator",2.0
Q20,B,"Bold Challenger, Storyteller",2.0
Q21,A,"Data-Driven Analyst, Tactical Educator",1.5
Q21,B,"Bold Challenger, Inspirational Storyteller",1.5
Q22,A,Tactical Educator,1.5
Q22,B,"Relatable Strategist, Storyteller",1.5
Q23,A,"Data-Driven Analyst, Tactical Educator",1.5
Q23,B,"Bold Challenger, Storyteller",1.5
Q24,A,Tactical Educator,1.5
Q24,B,"Bold Challenger, Engaging Entertainer",1.5
Q25,A,Tactical Educator,1.5
Q25,B,"Bold Challenger, Storyteller",1.5
Q26,A,"Relatable Strategist, Tactical Educator",0.0
Q26,B,"Bold Challenger, Relatable Strategist",0.0
Q27,A,"Data-Driven Analyst, Tactical Educator",0.0
Q27,B,"Inspirational Storyteller, Relatable Strategist",0.0
Q28,A,"Relatable Strategist, Tactical Educator",0.0
Q28,B,"Bold Challenger, Inspirational Storyteller",0.0
Q29,A,"Data-Driven Analyst, Tactical Educator",0.0
Q29,B,"Bold Challenger, Inspirational Storyteller",0.0
Q3,A,"Data-Driven Analyst, Tactical Educator",2.0
Q3,B,"Bold Challenger, Inspirational Storyteller",2.0
Q30,A,"Relatable Strategist, Tactical Educator",0.0
Q30,B,"Bold Challenger, Inspirational Storyteller",0.0
Q4,A,"Bold Challenger, Inspirational Storyteller",1.5
Q4,B,"Relatable Strategist, Tactical Educator",1.5
Q5,A,"Inspirational Storyteller, Relatable Strategist",1.5
Q5,B,"Data-Driven Analyst, Tactical Educator",1.5
Q6,A,"Data-Driven Analyst, Tactical Educator",2.0
Q6,B,"Bold Challenger, Inspirational Storyteller",2.0
Q7,A,Tactical Educator,2.0
Q7,B,"Bold Challenger, Inspirational Storyteller",2.0
Q8,A,Tactical Educator,1.5
Q8,B,"Relatable Strategist, Storyteller",1.5
Q9,A,"Data-Driven Analyst, Tactical Educator",2.0
Q9,B,"Bold Challenger, Engaging Entertainer",2.0
